;id;display-name;url;icon
42;mx5dcde197f6591d0009839e04;Pluto TV Reality_mx;;https://images.pluto.tv/channels/5dcde197f6591d0009839e04/colorLogoPNG.png
43;mx5dcde27ffae9520009c0c75a;Pluto TV Investiga_mx;;https://images.pluto.tv/channels/5dcde27ffae9520009c0c75a/colorLogoPNG.png
44;mx5dcde2f53449c50009b2b4dc;Pluto TV Misterios_mx;;https://images.pluto.tv/channels/5dcde2f53449c50009b2b4dc/colorLogoPNG.png
45;mx5dcde437229eff00091b6c30;Pluto TV Cine Estelar_mx;;https://images.pluto.tv/channels/5dcde437229eff00091b6c30/colorLogoPNG.png
46;mx5dd6ab8056beb000091fc6b6;Pluto TV Hogar_mx;;https://images.pluto.tv/channels/5dd6ab8056beb000091fc6b6/colorLogoPNG.png
47;mx5dd6ddb30a1d8a000908ed4c;Pluto TV Cine Familia_mx;;https://images.pluto.tv/channels/5dd6ddb30a1d8a000908ed4c/colorLogoPNG.png
48;mx5dd7ea2aeab5230009986735;Pluto TV Cine Romance_mx;;https://images.pluto.tv/channels/5dd7ea2aeab5230009986735/colorLogoPNG.png
49;mx5dd834c66fe2ca0009303b8d;Pluto TV Animales_mx;;https://images.pluto.tv/channels/5dd834c66fe2ca0009303b8d/colorLogoPNG.png
50;mx5dd8364ea1d6780009929902;Pluto TV Ciencia_mx;;https://images.pluto.tv/channels/5dd8364ea1d6780009929902/colorLogoPNG.png
51;mx5dd837642c6e9300098ad484;Pluto TV Series Latinas_mx;;https://images.pluto.tv/channels/5dd837642c6e9300098ad484/colorLogoPNG.png
52;mx5dd85eac039bba0009e86d1d;Pluto TV Naturaleza_mx;;https://images.pluto.tv/channels/5dd85eac039bba0009e86d1d/colorLogoPNG.png
53;mx5ddc266f80e3550009136843;Pluto TV Aventura_mx;;https://images.pluto.tv/channels/5ddc266f80e3550009136843/colorLogoPNG.png
54;mx5ddc4e8bcbb9010009b4e84f;Pluto TV Cine Suspenso_mx;;https://images.pluto.tv/channels/5ddc4e8bcbb9010009b4e84f/colorLogoPNG.png
55;mx5de5758e1a30dc00094fcd6c;Pluto TV Historia_mx;;https://images.pluto.tv/channels/5de5758e1a30dc00094fcd6c/colorLogoPNG.png
56;mx5de802659167b10009e7deba;Pluto TV Series Retro_mx;;https://images.pluto.tv/channels/5de802659167b10009e7deba/colorLogoPNG.png
57;mx5defde6d6c07b50009cf0757;Pluto TV  Nuestro Cine_mx;;https://images.pluto.tv/channels/5defde6d6c07b50009cf0757/colorLogoPNG.png
58;mx5df265697ec3510009df1ef0;Pluto TV Vida Real_mx;;https://images.pluto.tv/channels/5df265697ec3510009df1ef0/colorLogoPNG.png
59;mx5e3ddbd27091820009f86dd9;MasterChef_mx;;https://images.pluto.tv/channels/5e3ddbd27091820009f86dd9/colorLogoPNG.png
60;mx5e67d41b93312100076f3fca;Los archivos del FBI_mx;;https://images.pluto.tv/channels/5e67d41b93312100076f3fca/colorLogoPNG.png
61;mx5e8397936791b30007ebb5a7;Pluto TV Humor_mx;;https://images.pluto.tv/channels/5e8397936791b30007ebb5a7/colorLogoPNG.png
62;mx5e972a21ad709d00074195ba;Estrellas de Acción_mx;;https://images.pluto.tv/channels/5e972a21ad709d00074195ba/colorLogoPNG.png
63;mx5ebaccf1734aaf0007142c86;FailArmy_mx;;https://images.pluto.tv/channels/5ebaccf1734aaf0007142c86/colorLogoPNG.png
